,UMAP Dimension 1,UMAP Dimension 2,antibody
2,-6.660073,8.920135,7D6
8,-7.2757907,7.791955,BD-254
11,-6.717322,8.8631525,BD-362
12,-7.216224,8.132639,BD-368
18,-6.7982874,3.7149565,BD-417
32,-6.949639,4.413918,BD-598
39,-6.7039948,2.6148558,BD-618
40,-6.4698396,2.722787,BD-619
44,-6.821112,4.638283,BD-643
48,-7.0581145,2.744885,BD-693
49,-6.618343,2.6053975,BD-694
53,-7.324144,3.0486329,BD-732
58,-7.267671,7.2389894,BD-767
60,-7.138803,8.358418,BD-790
70,-6.9389467,2.4941583,BD-822
75,-7.1009665,8.4416895,BD-835
81,-6.7283726,8.834272,BD-897
87,-7.239454,8.033354,BD-906
103,-7.0754967,8.501632,BD55-1065
110,-6.6041965,2.6272643,BD55-1092
117,-6.727025,4.9430346,BD55-1171
122,-7.315682,7.595114,BD55-1223
129,-7.1972795,2.8647985,BD55-1249
131,-6.6241093,8.886671,BD55-1256
136,-6.6434555,4.81487,BD55-1274
148,-6.8729963,2.498112,BD55-1374
166,-7.3084474,7.183636,BD55-1576
175,-7.320969,7.4938354,BD55-1809
178,-6.6896505,2.7812629,BD55-1970
182,-7.3066745,3.5848308,BD55-300
291,-6.9324007,3.539106,BD55-5448
295,-6.485899,3.1754625,BD55-5466
327,-6.764619,2.9070787,BD55-5598
334,-7.1306963,3.1323178,BD55-5631
335,-6.7405505,8.802088,BD55-5634
342,-6.7237844,4.8402805,BD55-5659
346,-6.6773767,2.6393712,BD55-5689
390,-7.0785365,4.118637,BD55-5897
393,-6.725501,4.80432,BD55-5903
396,-6.634898,8.91575,BD55-5908
400,-7.0763073,8.499026,BD55-5918
419,-7.226328,7.3808722,BD55-5950
426,-6.5331626,2.7563915,BD55-5974
427,-7.3803096,3.2281733,BD55-600
517,-6.7532864,8.8188095,BD55-6386
518,-7.311623,7.163104,BD55-6387
524,-6.879391,2.6411436,BD55-6393
543,-7.1885223,7.4813094,BD55-6467
566,-6.57893,3.4808295,BD55-6579
583,-7.0757093,4.1466465,BD55-6671
598,-7.3554993,3.1126945,BD55-75
603,-6.9063954,4.483425,BD55-833
609,-6.8784585,4.5308456,BD55-856
616,-7.2774334,3.5876808,BD55-879
637,-7.1434298,3.9712386,BD55-944
712,-6.64766,4.700567,BD56-1257
715,-6.727286,8.833931,BD56-1262
716,-7.2101307,8.168804,BD56-1265
736,-6.6037397,2.6961985,BD56-1309
752,-6.2727876,8.660348,BD56-1403
777,-6.6311774,3.4902477,BD56-1459
791,-6.6869144,8.880393,BD56-1481
796,-6.7303357,4.8865037,BD56-1518
803,-7.355986,3.3396952,BD56-1552
806,-7.1226525,3.992755,BD56-1585
831,-7.2924156,3.6025138,BD56-1684
864,-6.6433473,8.762615,BD56-1754
920,-6.737205,4.7232795,BD56-1838
947,-6.863048,4.540296,BD56-1880
963,-6.7739944,8.816362,BD56-1900
974,-7.3648963,3.2546792,BD56-1916
978,-6.8602767,4.5890303,BD56-1925
986,-7.2887735,3.603199,BD56-1937
998,-7.334281,7.6256986,BD56-233
1009,-6.8633847,4.56056,BD56-412
1010,-6.8340044,8.107235,BD56-413
1015,-7.3174233,3.0293934,BD56-423
1115,-6.598334,2.6290329,BD56-619
1156,-6.822616,8.737083,BD56-917
1169,-6.6948414,3.802137,BD56-961
1179,-7.0503817,4.1474547,BD57-003
1181,-6.631677,4.688327,BD57-005
1182,-6.5814314,3.3947668,BD57-006
1194,-7.0758133,3.0220504,BD57-018
1203,-7.29627,7.1551905,BD57-0287
1204,-7.1534805,7.713508,BD57-029
1251,-6.6574326,3.6663194,BG1-24
1252,-7.2943273,7.5543985,BG10-19
1254,-6.992629,8.480059,BG7-20
1263,-6.9732366,2.6119034,C102
1264,-7.213524,2.9259531,C105
1269,-6.856365,4.618405,C1A-B12
1270,-7.363819,3.243794,C1A-B3
1271,-6.663652,2.5672927,C1A-C2
1272,-7.3294983,3.0827274,C1A-F10
1274,-6.6768184,3.689017,C516
1278,-6.6831417,8.86976,C591
1281,-7.2615128,3.584918,CC12.1
1282,-6.930157,2.6171598,CC12.3
1283,-6.6878657,8.882446,CM32
1301,-7.182715,8.1697445,COV2-2504
1304,-6.621313,2.5998492,COV2-2589
1312,-6.8990526,2.5126147,COV2-2807
1315,-7.0113783,2.5020413,COV2-2919
1319,-7.2991805,3.5452664,COVA2-04
1320,-7.277198,7.16911,COVA2-39
1324,-7.2703857,7.65391,COVOX-269
1325,-7.2917147,7.2413206,COVOX-316
1329,-6.6169395,2.6250868,COVOX-88
1334,-6.9722795,8.60808,CV07-222
