,Cluster,Antibody
0,0,BD55-5946
1,0,BD55-616
2,0,BD55-977
3,0,BD56-032
4,0,BD56-068
5,0,BD56-076
6,0,BD56-078
7,0,BD56-099
8,0,BD56-115
9,0,BD56-1650
10,0,BD56-1667
11,0,BD56-1729
12,0,BD56-1756
13,0,BD56-1765
14,0,BD56-1768
15,0,BD56-1817
16,0,BD56-1819
17,0,BD56-1912
18,0,BD56-443
19,0,BD56-445
20,0,BD56-464
21,0,BD56-507
22,0,BD56-546
23,0,BD56-608
24,0,BD56-974
25,0,BD57-070
26,0,BD57-085
27,0,Ehling_mAb-82
28,0,XGv-212
29,1,1-57
30,1,BD-418
31,1,BD-467
32,1,BD-507
33,1,BD-612
34,1,BD-667
35,1,BD-758
36,1,BD-804
37,1,BD-812
38,1,BD-817
39,1,BD-821
40,1,BD-824
41,1,BD-907
42,1,BD-914
43,1,BD55-1036
44,1,BD55-1039
45,1,BD55-1084
46,1,BD55-1104
47,1,BD55-1109
48,1,BD55-1294
49,1,BD55-1339
50,1,BD55-1432
51,1,BD55-1575
52,1,BD55-2532
53,1,BD55-302
54,1,BD55-3152
55,1,BD55-3337
56,1,BD55-3433
57,1,BD55-3440
58,1,BD55-3485
59,1,BD55-387
60,1,BD55-44
61,1,BD55-4495
62,1,BD55-4664
63,1,BD55-5182
64,1,BD55-5303
65,1,BD55-5319
66,1,BD55-5382
67,1,BD55-5449
68,1,BD55-5473
69,1,BD55-5517
70,1,BD55-5549
71,1,BD55-5585
72,1,BD55-5591
73,1,BD55-5697
74,1,BD55-5779
75,1,BD55-6480
76,1,BD55-6641
77,1,BD55-935
78,1,BD55-947
79,1,BD56-016
80,1,BD56-040
81,1,BD56-054
82,1,BD56-071
83,1,BD56-1228
84,1,BD56-1245
85,1,BD56-1252
86,1,BD56-1254
87,1,BD56-1256
88,1,BD56-1286
89,1,BD56-1290
90,1,BD56-1295
91,1,BD56-1305
92,1,BD56-1322
93,1,BD56-1410
94,1,BD56-1422
95,1,BD56-1447
96,1,BD56-1450
97,1,BD56-1453
98,1,BD56-1457
99,1,BD56-1470
100,1,BD56-1474
101,1,BD56-1479
102,1,BD56-1517
103,1,BD56-1616
104,1,BD56-1620
105,1,BD56-1689
106,1,BD56-1691
107,1,BD56-1693
108,1,BD56-1701
109,1,BD56-1711
110,1,BD56-1714
111,1,BD56-1716
112,1,BD56-1727
113,1,BD56-1730
114,1,BD56-1740
115,1,BD56-1742
116,1,BD56-1760
117,1,BD56-1762
118,1,BD56-1769
119,1,BD56-1781
120,1,BD56-1785
121,1,BD56-1790
122,1,BD56-1797
123,1,BD56-1798
124,1,BD56-181
125,1,BD56-1814
126,1,BD56-1821
127,1,BD56-1824
128,1,BD56-1825
129,1,BD56-1827
130,1,BD56-1837
131,1,BD56-1842
132,1,BD56-1857
133,1,BD56-1866
134,1,BD56-1885
135,1,BD56-1891
136,1,BD56-1894
137,1,BD56-1910
138,1,BD56-1911
139,1,BD56-1923
140,1,BD56-327
141,1,BD56-419
142,1,BD56-427
143,1,BD56-458
144,1,BD56-467
145,1,BD56-476
146,1,BD56-490
147,1,BD56-495
148,1,BD56-500
149,1,BD56-509
150,1,BD56-520
151,1,BD56-524
152,1,BD56-525
153,1,BD56-535
154,1,BD56-537
155,1,BD56-538
156,1,BD56-554
157,1,BD56-581
158,1,BD56-587
159,1,BD56-592
160,1,BD56-595
161,1,BD56-615
162,1,BD56-623
163,1,BD56-634
164,1,BD56-646
165,1,BD56-647
166,1,BD56-660
167,1,BD56-682
168,1,BD56-719
169,1,BD56-739
170,1,BD56-900
171,1,BD56-910
172,1,BD56-937
173,1,BD56-963
174,1,BD57-001
175,1,BD57-023
176,1,BD57-028
177,1,BD57-030
178,1,BD57-039
179,1,BD57-045
180,1,BD57-058
181,1,BD57-059
182,1,BD57-061
183,1,BD57-073
184,1,BD57-080
185,1,BD57-082
186,1,BD57-099
187,1,BD58-0588
188,1,C091
189,1,C119
190,1,COV2-2103
191,1,COV2-2268
192,1,COV2-2389
193,1,COV2-2391
194,1,COV2-2485
195,1,COV2-2760
196,1,COV2-2819
197,1,XG2v-052
198,1,XG2v-070
199,1,XGv-016
200,1,XGv-047
201,1,XGv-074
202,1,XGv-107
203,1,XGv-174
204,1,XGv-175
205,1,XGv-199
206,1,XGv-227
207,1,XGv-250
208,1,XGv-264
209,1,XGv-265
210,1,XGv-266
211,1,XGv-282
212,1,XGv-284
213,1,XGv-285
214,1,XGv-286
215,1,XGv-288
216,1,XGv-289
217,1,XGv-290
218,1,XGv-291
219,1,XGv-292
220,1,XGv-293
221,1,XGv-294
222,1,XGv-295
223,1,XGv-296
224,1,XGv-297
225,1,XGv-345
226,1,XGv-420
227,2,ADG-2
228,2,BD-494
229,2,BD-498
230,2,BD-500
231,2,BD-605
232,2,BD-771
233,2,BD-899
234,2,BD55-1091
235,2,BD55-1096
236,2,BD55-1177
237,2,BD55-1225
238,2,BD55-1239
239,2,BD55-1343
